geo,Municipio,Periodo,Valor
15022,Almeida,2012,0
15047,Aquitania,2012,4
15051,Arcabuco,2012,13
15087,Belén,2012,0
15090,Berbeo,2012,48
15092,Betéitiva,2012,0
15097,Boavita,2012,2
15104,Boyacá,2012,0
15106,Briceño,2012,42
15109,Buenavista,2012,0
15114,Busbanzá,2012,10
15131,Caldas,2012,23
15135,Campohermoso,2012,25
15162,Cerinza,2012,0
15172,Chinavita,2012,0
15176,Chiquinquirá,2012,1
15232,Chíquiza,2012,0
15180,Chiscas,2012,0
15183,Chita,2012,22
15185,Chitaraque,2012,0
15187,Chivatá,2012,0
15236,Chivor,2012,34
15189,Ciénega,2012,0
15204,Cómbita,2012,16
15212,Coper,2012,0
15215,Corrales,2012,0
15218,Covarachía,2012,4
15223,Cubará,2012,0
15224,Cucaita,2012,0
15226,Cuítiva,2012,0
15238,Duitama,2012,4
15244,El Cocuy,2012,0
15248,El Espino,2012,0
15272,Firavitoba,2012,0
15276,Floresta,2012,0
15293,Gachantivá,2012,23
15296,Gámeza,2012,8
15299,Garagoa,2012,11
15317,Guacamayas,2012,0
15322,Guateque,2012,9
15325,Guayatá,2012,0
15332,GÜICÁN DE LA SIERRA,2012,0
15362,Iza,2012,26
15367,Jenesano,2012,0
15368,Jericó,2012,0
15380,La Capilla,2012,0
15403,La Uvita,2012,0
15401,La Victoria,2012,0
15377,Labranzagrande,2012,27
15425,Macanal,2012,0
15442,Maripí,2012,0
15455,Miraflores,2012,0
15464,Mongua,2012,0
15466,Monguí,2012,26
15469,Moniquirá,2012,7
15476,Motavita,2012,0
15480,Muzo,2012,1
15491,Nobsa,2012,0
15494,Nuevo Colón,2012,0
15500,Oicatá,2012,0
15507,Otanche,2012,16
15511,Pachavita,2012,0
15514,Páez,2012,0
15516,Paipa,2012,7
15518,Pajarito,2012,0
15522,Panqueba,2012,0
15531,Pauna,2012,1
15533,Paya,2012,56
15537,Paz De Río,2012,23
15542,Pesca,2012,8
15550,Pisba,2012,0
15572,Puerto Boyacá,2012,11
15580,Quípama,2012,0
15599,Ramiriquí,2012,6
15600,Ráquira,2012,11
15621,Rondón,2012,0
15632,Saboyá,2012,6
15638,Sáchica,2012,15
15646,Samacá,2012,5
15660,San Eduardo,2012,0
15664,San José De Pare,2012,0
15667,San Luis De Gaceno,2012,13
15673,San Mateo,2012,17
15676,San Miguel De Sema,2012,0
15681,San Pablo De Borbur,2012,45
15693,Santa Rosa De Viterbo,2012,7
15696,Santa Sofía,2012,0
15690,Santa María,2012,0
15686,Santana,2012,36
15720,Sativanorte,2012,0
15723,Sativasur,2012,0
15740,Siachoque,2012,0
15753,Soatá,2012,0
15757,Socha,2012,0
15755,Socotá,2012,16
15759,Sogamoso,2012,2
15761,Somondoco,2012,0
15762,Sora,2012,28
15764,Soracá,2012,1
15763,Sotaquirá,2012,0
15774,Susacón,2012,0
15776,Sutamarchán,2012,0
15778,Sutatenza,2012,0
15790,Tasco,2012,0
15798,Tenza,2012,3
15806,Tibasosa,2012,0
15804,Tibaná,2012,0
15808,Tinjacá,2012,0
15810,Tipacoque,2012,0
15814,Toca,2012,18
15816,Togüí,2012,35
15820,Tópaga,2012,16
15822,Tota,2012,22
15001,Tunja,2012,6
15832,Tununguá,2012,0
15835,Turmequé,2012,0
15837,Tuta,2012,1
15839,TUTAZÁ,2012,0
15842,Úmbita,2012,0
15861,Ventaquemada,2012,25
15407,Villa De Leyva,2012,6
15879,Viracachá,2012,0
15897,Zetaquira,2012,0
15022,Almeida,2012,0
15047,Aquitania,2012,1
15051,Arcabuco,2012,1
15087,Belén,2012,0
15090,Berbeo,2012,1
15092,Betéitiva,2012,0
15097,Boavita,2012,1
15104,Boyacá,2012,0
15106,Briceño,2012,1
15109,Buenavista,2012,0
15114,Busbanzá,2012,1
15131,Caldas,2012,1
15135,Campohermoso,2012,1
15162,Cerinza,2012,0
15172,Chinavita,2012,0
15176,Chiquinquirá,2012,10
15232,Chíquiza,2012,0
15180,Chiscas,2012,0
15183,Chita,2012,3
15185,Chitaraque,2012,0
15187,Chivatá,2012,0
15236,Chivor,2012,1
15189,Ciénega,2012,0
15204,Cómbita,2012,2
15212,Coper,2012,0
15215,Corrales,2012,0
15218,Covarachía,2012,1
15223,Cubará,2012,0
15224,Cucaita,2012,0
15226,Cuítiva,2012,0
15238,Duitama,2012,7
15244,El Cocuy,2012,0
15248,El Espino,2012,0
15272,Firavitoba,2012,0
15276,Floresta,2012,0
15293,Gachantivá,2012,1
15296,Gámeza,2012,1
15299,Garagoa,2012,2
15317,Guacamayas,2012,0
15322,Guateque,2012,1
15325,Guayatá,2012,0
15332,GÜICÁN DE LA SIERRA,2012,0
15362,Iza,2012,1
15367,Jenesano,2012,0
15368,Jericó,2012,0
15380,La Capilla,2012,0
15403,La Uvita,2012,0
15401,La Victoria,2012,0
15377,Labranzagrande,2012,1
15425,Macanal,2012,0
15442,Maripí,2012,0
15455,Miraflores,2012,0
15464,Mongua,2012,0
15466,Monguí,2012,2
15469,Moniquirá,2012,2
15476,Motavita,2012,0
15480,Muzo,2012,1
15491,Nobsa,2012,0
15494,Nuevo Colón,2012,0
15500,Oicatá,2012,0
15507,Otanche,2012,2
15511,Pachavita,2012,0
15514,Páez,2012,0
15516,Paipa,2012,3
15518,Pajarito,2012,0
15522,Panqueba,2012,0
15531,Pauna,2012,1
15533,Paya,2012,1
15537,Paz De Río,2012,1
15542,Pesca,2012,1
15550,Pisba,2012,0
15572,Puerto Boyacá,2012,11
15580,Quípama,2012,0
15599,Ramiriquí,2012,1
15600,Ráquira,2012,1
15621,Rondón,2012,0
15632,Saboyá,2012,1
15638,Sáchica,2012,1
15646,Samacá,2012,2
15660,San Eduardo,2012,0
15664,San José De Pare,2012,0
15667,San Luis De Gaceno,2012,1
15673,San Mateo,2012,1
15676,San Miguel De Sema,2012,0
15681,San Pablo De Borbur,2012,3
15693,Santa Rosa De Viterbo,2012,1
15696,Santa Sofía,2012,0
15690,Santa María,2012,0
15686,Santana,2012,3
15720,Sativanorte,2012,0
15723,Sativasur,2012,0
15740,Siachoque,2012,0
15753,Soatá,2012,0
15757,Socha,2012,0
15755,Socotá,2012,2
15759,Sogamoso,2012,3
15761,Somondoco,2012,0
15762,Sora,2012,1
15764,Soracá,2012,1
15763,Sotaquirá,2012,0
15774,Susacón,2012,0
15776,Sutamarchán,2012,0
15778,Sutatenza,2012,0
15790,Tasco,2012,0
15798,Tenza,2012,1
15806,Tibasosa,2012,0
15804,Tibaná,2012,0
15808,Tinjacá,2012,0
15810,Tipacoque,2012,0
15814,Toca,2012,3
15816,Togüí,2012,2
15820,Tópaga,2012,1
15822,Tota,2012,2
15001,Tunja,2012,17
15832,Tununguá,2012,0
15835,Turmequé,2012,0
15837,Tuta,2012,1
15839,TUTAZÁ,2012,0
15842,Úmbita,2012,0
15861,Ventaquemada,2012,6
15407,Villa De Leyva,2012,1
15879,Viracachá,2012,0
15897,Zetaquira,2012,0
15022,Almeida,2013,0
15047,Aquitania,2013,2
15051,Arcabuco,2013,1
15087,Belén,2013,0
15090,Berbeo,2013,0
15092,Betéitiva,2013,0
15097,Boavita,2013,0
15104,Boyacá,2013,1
15106,Briceño,2013,0
15109,Buenavista,2013,0
15114,Busbanzá,2013,0
15131,Caldas,2013,0
15135,Campohermoso,2013,0
15162,Cerinza,2013,0
15172,Chinavita,2013,0
15176,Chiquinquirá,2013,10
15232,Chíquiza,2013,0
15180,Chiscas,2013,0
15183,Chita,2013,3
15185,Chitaraque,2013,1
15187,Chivatá,2013,0
15236,Chivor,2013,0
15189,Ciénega,2013,0
15204,Cómbita,2013,0
15212,Coper,2013,1
15215,Corrales,2013,2
15218,Covarachía,2013,0
15223,Cubará,2013,2
15224,Cucaita,2013,1
15226,Cuítiva,2013,0
15238,Duitama,2013,6
15244,El Cocuy,2013,0
15248,El Espino,2013,0
15272,Firavitoba,2013,1
15276,Floresta,2013,0
15293,Gachantivá,2013,0
15296,Gámeza,2013,0
15299,Garagoa,2013,0
15317,Guacamayas,2013,0
15322,Guateque,2013,2
15325,Guayatá,2013,0
15332,GÜICÁN DE LA SIERRA,2013,0
15362,Iza,2013,1
15367,Jenesano,2013,0
15368,Jericó,2013,0
15380,La Capilla,2013,1
15403,La Uvita,2013,0
15401,La Victoria,2013,1
15377,Labranzagrande,2013,0
15425,Macanal,2013,0
15442,Maripí,2013,0
15455,Miraflores,2013,0
15464,Mongua,2013,1
15466,Monguí,2013,1
15469,Moniquirá,2013,2
15476,Motavita,2013,0
15480,Muzo,2013,1
15491,Nobsa,2013,1
15494,Nuevo Colón,2013,0
15500,Oicatá,2013,0
15507,Otanche,2013,1
15511,Pachavita,2013,0
15514,Páez,2013,0
15516,Paipa,2013,2
15518,Pajarito,2013,0
15522,Panqueba,2013,0
15531,Pauna,2013,0
15533,Paya,2013,0
15537,Paz De Río,2013,0
15542,Pesca,2013,1
15550,Pisba,2013,0
15572,Puerto Boyacá,2013,16
15580,Quípama,2013,0
15599,Ramiriquí,2013,0
15600,Ráquira,2013,0
15621,Rondón,2013,0
15632,Saboyá,2013,1
15638,Sáchica,2013,0
15646,Samacá,2013,5
15660,San Eduardo,2013,0
15664,San José De Pare,2013,0
15667,San Luis De Gaceno,2013,0
15673,San Mateo,2013,1
15676,San Miguel De Sema,2013,0
15681,San Pablo De Borbur,2013,2
15693,Santa Rosa De Viterbo,2013,0
15696,Santa Sofía,2013,1
15690,Santa María,2013,0
15686,Santana,2013,1
15720,Sativanorte,2013,0
15723,Sativasur,2013,0
15740,Siachoque,2013,0
15753,Soatá,2013,1
15757,Socha,2013,1
15755,Socotá,2013,0
15759,Sogamoso,2013,9
15761,Somondoco,2013,0
15762,Sora,2013,0
15764,Soracá,2013,1
15763,Sotaquirá,2013,0
15774,Susacón,2013,0
15776,Sutamarchán,2013,0
15778,Sutatenza,2013,0
15790,Tasco,2013,1
15798,Tenza,2013,0
15806,Tibasosa,2013,1
15804,Tibaná,2013,1
15808,Tinjacá,2013,0
15810,Tipacoque,2013,0
15814,Toca,2013,0
15816,Togüí,2013,0
15820,Tópaga,2013,0
15822,Tota,2013,0
15001,Tunja,2013,11
15832,Tununguá,2013,0
15835,Turmequé,2013,0
15837,Tuta,2013,0
15839,TUTAZÁ,2013,0
15842,Úmbita,2013,0
15861,Ventaquemada,2013,2
15407,Villa De Leyva,2013,1
15879,Viracachá,2013,0
15897,Zetaquira,2013,0
15022,Almeida,2014,0
15047,Aquitania,2014,1
15051,Arcabuco,2014,1
15087,Belén,2014,0
15090,Berbeo,2014,0
15092,Betéitiva,2014,0
15097,Boavita,2014,0
15104,Boyacá,2014,0
15106,Briceño,2014,0
15109,Buenavista,2014,3
15114,Busbanzá,2014,0
15131,Caldas,2014,0
15135,Campohermoso,2014,0
15162,Cerinza,2014,0
15172,Chinavita,2014,0
15176,Chiquinquirá,2014,7
15232,Chíquiza,2014,0
15180,Chiscas,2014,0
15183,Chita,2014,0
15185,Chitaraque,2014,1
15187,Chivatá,2014,0
15236,Chivor,2014,1
15189,Ciénega,2014,0
15204,Cómbita,2014,0
15212,Coper,2014,1
15215,Corrales,2014,0
15218,Covarachía,2014,0
15223,Cubará,2014,1
15224,Cucaita,2014,0
15226,Cuítiva,2014,0
15238,Duitama,2014,7
