geo,Municipio,Directo,Año
15248,El Espino,1,2023
15248,El Espino,1,2024
15248,El Espino,1,2025
15272,Firavitoba,1,2020
15272,Firavitoba,1,2021
15272,Firavitoba,1,2022
15272,Firavitoba,1,2023
15272,Firavitoba,1,2024
15272,Firavitoba,1,2025
15276,Floresta,0,2020
15276,Floresta,0,2021
15276,Floresta,0,2022
15276,Floresta,0,2023
15276,Floresta,0,2024
15276,Floresta,0,2025
15293,Gachantivá,1,2020
15293,Gachantivá,1,2021
15293,Gachantivá,1,2022
15293,Gachantivá,1,2023
15293,Gachantivá,1,2024
15293,Gachantivá,1,2025
15296,Gameza,1,2020
15296,Gameza,1,2021
15296,Gameza,1,2022
15296,Gameza,1,2023
15296,Gameza,1,2024
15296,Gameza,1,2025
15299,Garagoa,0,2020
15299,Garagoa,0,2021
15299,Garagoa,0,2022
15299,Garagoa,0,2023
15299,Garagoa,0,2024
15299,Garagoa,0,2025
15317,Guacamayas,0,2020
15317,Guacamayas,0,2021
15317,Guacamayas,0,2022
15317,Guacamayas,0,2023
15317,Guacamayas,0,2024
15317,Guacamayas,0,2025
15322,Guateque,1,2020
15322,Guateque,1,2021
15322,Guateque,1,2022
15322,Guateque,1,2023
15322,Guateque,1,2024
15322,Guateque,1,2025
15325,Guayatá,0,2020
15325,Guayatá,0,2021
15325,Guayatá,0,2022
15325,Guayatá,0,2023
15325,Guayatá,0,2024
15325,Guayatá,0,2025
15332,Güicán,1,2020
15332,Güicán,1,2021
15332,Güicán,1,2022
15332,Güicán,1,2023
15332,Güicán,1,2024
15332,Güicán,1,2025
15362,Iza,1,2020
15362,Iza,1,2021
15362,Iza,1,2022
15362,Iza,1,2023
15362,Iza,1,2024
15362,Iza,1,2025
15367,Jenesano,1,2020
15367,Jenesano,1,2021
15367,Jenesano,1,2022
15367,Jenesano,1,2023
15367,Jenesano,1,2024
15367,Jenesano,1,2025
15368,Jericó,1,2020
15368,Jericó,1,2021
15368,Jericó,1,2022
15368,Jericó,1,2023
15368,Jericó,1,2024
15368,Jericó,1,2025
15377,Labranza Grande,0,2020
15377,Labranza Grande,0,2021
15377,Labranza Grande,0,2022
15377,Labranza Grande,0,2023
15377,Labranza Grande,0,2024
15377,Labranza Grande,0,2025
15380,La Capilla,1,2020
15380,La Capilla,1,2021
15380,La Capilla,1,2022
15380,La Capilla,1,2023
15380,La Capilla,1,2024
15380,La Capilla,1,2025
15401,La Victoria,1,2020
15401,La Victoria,1,2021
15401,La Victoria,1,2022
15401,La Victoria,1,2023
15401,La Victoria,1,2024
15401,La Victoria,1,2025
15403,La Uvita,1,2020
15403,La Uvita,1,2021
15403,La Uvita,1,2022
15403,La Uvita,1,2023
15403,La Uvita,1,2024
15403,La Uvita,1,2025
15407,Villa De Leyva,0,2020
15407,Villa De Leyva,0,2021
15407,Villa De Leyva,0,2022
15407,Villa De Leyva,0,2023
15407,Villa De Leyva,0,2024
15407,Villa De Leyva,0,2025
15425,Macanal,0,2020
15425,Macanal,0,2021
15425,Macanal,0,2022
15425,Macanal,0,2023
15425,Macanal,0,2024
15425,Macanal,0,2025
15442,Maripí,1,2020
15442,Maripí,1,2021
15442,Maripí,1,2022
15442,Maripí,1,2023
15442,Maripí,1,2024
15442,Maripí,1,2025
15455,Miraflores,0,2020
15455,Miraflores,0,2021
15455,Miraflores,0,2022
15455,Miraflores,0,2023
15455,Miraflores,0,2024
15455,Miraflores,0,2025
15464,Mongua,0,2020
15464,Mongua,0,2021
15464,Mongua,0,2022
15464,Mongua,0,2023
15464,Mongua,0,2024
15464,Mongua,0,2025
15466,Monguì,0,2020
15466,Monguì,0,2021
15466,Monguì,0,2022
15466,Monguì,0,2023
15466,Monguì,0,2024
15466,Monguì,0,2025
15469,Moniquira,0,2020
15469,Moniquira,0,2021
15469,Moniquira,0,2022
15469,Moniquira,0,2023
15469,Moniquira,0,2024
15469,Moniquira,0,2025
15476,Motavita,1,2020
15476,Motavita,1,2021
15476,Motavita,1,2022
15476,Motavita,1,2023
15476,Motavita,1,2024
15476,Motavita,1,2025
15480,Muzo,1,2020
15480,Muzo,1,2021
15480,Muzo,1,2022
15480,Muzo,1,2023
15480,Muzo,1,2024
15480,Muzo,1,2025
15491,Nobsa,0,2020
15491,Nobsa,0,2021
15491,Nobsa,0,2022
15491,Nobsa,0,2023
15491,Nobsa,0,2024
15491,Nobsa,0,2025
15494,Nuevo Colón,0,2020
15494,Nuevo Colón,0,2021
15494,Nuevo Colón,0,2022
15494,Nuevo Colón,0,2023
15494,Nuevo Colón,0,2024
15494,Nuevo Colón,0,2025
15500,Oicata,1,2020
15500,Oicata,1,2021
15500,Oicata,1,2022
15500,Oicata,1,2023
15500,Oicata,1,2024
15500,Oicata,1,2025
15507,Otanche,0,2020
15507,Otanche,0,2021
15507,Otanche,0,2022
15507,Otanche,0,2023
15507,Otanche,0,2024
15507,Otanche,0,2025
15511,Pachavita,0,2020
15511,Pachavita,0,2021
15511,Pachavita,0,2022
15511,Pachavita,0,2023
15511,Pachavita,0,2024
15511,Pachavita,0,2025
15514,Páez,1,2020
15514,Páez,1,2021
15514,Páez,1,2022
15514,Páez,1,2023
15514,Páez,1,2024
15514,Páez,1,2025
15516,Paipa,0,2020
15516,Paipa,0,2021
15516,Paipa,0,2022
15516,Paipa,0,2023
15516,Paipa,0,2024
15516,Paipa,0,2025
15518,Pajarito,1,2020
15518,Pajarito,1,2021
15518,Pajarito,1,2022
15518,Pajarito,1,2023
15518,Pajarito,1,2024
15518,Pajarito,1,2025
15522,Panqueba,0,2020
15522,Panqueba,0,2021
15522,Panqueba,0,2022
15522,Panqueba,0,2023
15522,Panqueba,0,2024
15522,Panqueba,0,2025
15531,Pauna,1,2020
15531,Pauna,1,2021
15531,Pauna,1,2022
15531,Pauna,1,2023
15531,Pauna,1,2024
15531,Pauna,1,2025
15533,Paya,1,2020
15533,Paya,1,2021
15533,Paya,1,2022
15533,Paya,1,2023
15533,Paya,1,2024
15533,Paya,1,2025
15537,Paz De Río,1,2020
15537,Paz De Río,1,2021
15537,Paz De Río,1,2022
15537,Paz De Río,1,2023
15537,Paz De Río,1,2024
15537,Paz De Río,1,2025
15542,Pesca,1,2020
15542,Pesca,1,2021
15542,Pesca,1,2022
15542,Pesca,1,2023
15542,Pesca,1,2024
15542,Pesca,1,2025
15550,Pisba,1,2020
15550,Pisba,1,2021
15550,Pisba,1,2022
15550,Pisba,1,2023
15550,Pisba,1,2024
15550,Pisba,1,2025
15572,Puerto Boyacá,0,2020
15572,Puerto Boyacá,0,2021
15572,Puerto Boyacá,0,2022
15572,Puerto Boyacá,0,2023
15572,Puerto Boyacá,0,2024
15572,Puerto Boyacá,0,2025
15580,Quípama,1,2020
15580,Quípama,1,2021
15580,Quípama,1,2022
15580,Quípama,1,2023
15580,Quípama,1,2024
15580,Quípama,1,2025
15599,Ramiriquí,1,2020
15599,Ramiriquí,1,2021
15599,Ramiriquí,1,2022
15599,Ramiriquí,1,2023
15599,Ramiriquí,1,2024
15599,Ramiriquí,1,2025
15600,Ráquira,0,2020
15600,Ráquira,0,2021
15600,Ráquira,0,2022
15600,Ráquira,0,2023
15600,Ráquira,0,2024
15600,Ráquira,0,2025
15621,Rondón,1,2020
15621,Rondón,1,2021
15621,Rondón,1,2022
15621,Rondón,1,2023
15621,Rondón,1,2024
15621,Rondón,1,2025
15632,Saboyá,0,2020
15632,Saboyá,0,2021
15632,Saboyá,0,2022
15632,Saboyá,0,2023
15632,Saboyá,0,2024
15632,Saboyá,0,2025
15638,Sáchica,0,2020
15638,Sáchica,0,2021
15638,Sáchica,0,2022
15638,Sáchica,0,2023
15638,Sáchica,0,2024
15638,Sáchica,0,2025
15646,Samacá,0,2020
15646,Samacá,0,2021
15646,Samacá,0,2022
15646,Samacá,0,2023
15646,Samacá,0,2024
15646,Samacá,0,2025
15660,San Eduardo,1,2020
15660,San Eduardo,1,2021
15660,San Eduardo,1,2022
15660,San Eduardo,1,2023
15660,San Eduardo,1,2024
15660,San Eduardo,1,2025
15664,San José De Pare,0,2020
15664,San José De Pare,0,2021
15664,San José De Pare,0,2022
15664,San José De Pare,0,2023
15664,San José De Pare,0,2024
15664,San José De Pare,0,2025
15667,San Luis De Gaceno,1,2020
15667,San Luis De Gaceno,1,2021
15667,San Luis De Gaceno,1,2022
15667,San Luis De Gaceno,1,2023
15667,San Luis De Gaceno,1,2024
15667,San Luis De Gaceno,1,2025
15673,San Mateo,0,2020
15673,San Mateo,0,2021
15673,San Mateo,0,2022
15673,San Mateo,0,2023
15673,San Mateo,0,2024
15673,San Mateo,0,2025
15676,San Miguel De Sema,0,2020
15676,San Miguel De Sema,0,2021
15676,San Miguel De Sema,0,2022
15676,San Miguel De Sema,0,2023
15676,San Miguel De Sema,0,2024
15676,San Miguel De Sema,0,2025
15681,San Pablo De Borbur,1,2020
15681,San Pablo De Borbur,1,2021
15681,San Pablo De Borbur,1,2022
15681,San Pablo De Borbur,1,2023
15681,San Pablo De Borbur,1,2024
15681,San Pablo De Borbur,1,2025
15686,Santana,0,2020
15686,Santana,0,2021
15686,Santana,0,2022
15686,Santana,0,2023
15686,Santana,0,2024
15686,Santana,0,2025
15690,Santa María,1,2020
15690,Santa María,1,2021
15690,Santa María,1,2022
15690,Santa María,1,2023
15690,Santa María,1,2024
15690,Santa María,1,2025
15693,Santa Rosa De Viterbo,0,2020
15693,Santa Rosa De Viterbo,0,2021
15693,Santa Rosa De Viterbo,0,2022
15693,Santa Rosa De Viterbo,0,2023
15693,Santa Rosa De Viterbo,0,2024
15693,Santa Rosa De Viterbo,0,2025
15696,Santa Sofía,1,2020
15696,Santa Sofía,1,2021
15696,Santa Sofía,1,2022
15696,Santa Sofía,1,2023
15696,Santa Sofía,1,2024
15696,Santa Sofía,1,2025
15720,Sativanorte,1,2020
15720,Sativanorte,1,2021
15720,Sativanorte,1,2022
15720,Sativanorte,1,2023
15720,Sativanorte,1,2024
15720,Sativanorte,1,2025
15723,Sativasur,1,2020
15723,Sativasur,1,2021
15723,Sativasur,1,2022
15723,Sativasur,1,2023
15723,Sativasur,1,2024
15723,Sativasur,1,2025
15740,Siachoque,1,2020
15740,Siachoque,1,2021
15740,Siachoque,1,2022
15740,Siachoque,1,2023
15740,Siachoque,1,2024
15740,Siachoque,1,2025
15753,Soatá,0,2020
15753,Soatá,0,2021
15753,Soatá,0,2022
15753,Soatá,0,2023
15753,Soatá,0,2024
15753,Soatá,0,2025
15755,Socotá,1,2020
15755,Socotá,1,2021
15755,Socotá,1,2022
15755,Socotá,1,2023
15755,Socotá,1,2024
15755,Socotá,1,2025
15757,Socha,1,2020
15757,Socha,1,2021
15757,Socha,1,2022
15757,Socha,1,2023
15757,Socha,1,2024
15757,Socha,1,2025
15759,Sogamoso,0,2020
15759,Sogamoso,0,2021
15759,Sogamoso,0,2022
15759,Sogamoso,0,2023
15759,Sogamoso,0,2024
15759,Sogamoso,0,2025
15761,Somondoco,1,2020
15761,Somondoco,1,2021
15761,Somondoco,1,2022
15761,Somondoco,1,2023
15761,Somondoco,1,2024
15761,Somondoco,1,2025
15762,Sora,1,2020
15762,Sora,1,2021
15762,Sora,1,2022
15762,Sora,1,2023
15762,Sora,1,2024
15762,Sora,1,2025
15763,Sotaquirá,0,2020
15763,Sotaquirá,0,2021
15763,Sotaquirá,0,2022
15763,Sotaquirá,0,2023
15763,Sotaquirá,0,2024
15763,Sotaquirá,0,2025
15764,Soracá,0,2020
15764,Soracá,0,2021
15764,Soracá,0,2022
15764,Soracá,0,2023
15764,Soracá,0,2024
15764,Soracá,0,2025
15774,Susacón,1,2020
15774,Susacón,1,2021
15774,Susacón,1,2022
15774,Susacón,1,2023
15774,Susacón,1,2024
15774,Susacón,1,2025
15776,Sutamarchàn,1,2020
15776,Sutamarchàn,1,2021
15776,Sutamarchàn,0,2022
15776,Sutamarchàn,0,2023
15776,Sutamarchàn,0,2024
15776,Sutamarchàn,0,2025
15778,Sutatenza,1,2020
15778,Sutatenza,1,2021
15778,Sutatenza,1,2022
15778,Sutatenza,1,2023
15778,Sutatenza,1,2024
15778,Sutatenza,1,2025
15790,Tasco,0,2020
15790,Tasco,0,2021
15790,Tasco,0,2022
15790,Tasco,0,2023
15790,Tasco,0,2024
15790,Tasco,0,2025
15798,Tenza,0,2020
15798,Tenza,0,2021
15798,Tenza,0,2022
15798,Tenza,0,2023
15798,Tenza,0,2024
15798,Tenza,0,2025
15804,Tibana,0,2020
15804,Tibana,0,2021
15804,Tibana,0,2022
15804,Tibana,0,2023
15804,Tibana,0,2024
15804,Tibana,0,2025
15806,Tibasosa,0,2020
15806,Tibasosa,0,2021
15806,Tibasosa,0,2022
15806,Tibasosa,0,2023
15806,Tibasosa,0,2024
15806,Tibasosa,0,2025
15808,Tinjacá,0,2020
15808,Tinjacá,0,2021
15808,Tinjacá,0,2022
15808,Tinjacá,0,2023
15808,Tinjacá,0,2024
15808,Tinjacá,0,2025
15810,Tipacoque,1,2020
15810,Tipacoque,1,2021
15810,Tipacoque,1,2022
15810,Tipacoque,1,2023
15810,Tipacoque,1,2024
15810,Tipacoque,1,2025
15814,Toca,1,2020
15814,Toca,1,2021
15814,Toca,1,2022
15814,Toca,1,2023
15814,Toca,1,2024
15814,Toca,1,2025
15816,Togüí,0,2020
15816,Togüí,0,2021
15816,Togüí,0,2022
15816,Togüí,0,2023
15816,Togüí,0,2024
15816,Togüí,0,2025
15820,Tópaga,0,2020
15820,Tópaga,0,2021
15820,Tópaga,0,2022
15820,Tópaga,0,2023
15820,Tópaga,0,2024
15820,Tópaga,0,2025
15822,Tota,1,2020
15822,Tota,1,2021
15822,Tota,1,2022
15822,Tota,1,2023
15822,Tota,1,2024
15822,Tota,1,2025
15832,Tununguá,1,2020
15832,Tununguá,1,2021
15832,Tununguá,1,2022
15832,Tununguá,1,2023
15832,Tununguá,1,2024
15832,Tununguá,1,2025
15835,Turmequé,0,2020
15835,Turmequé,0,2021
15835,Turmequé,0,2022
15835,Turmequé,0,2023
15835,Turmequé,0,2024
15835,Turmequé,0,2025
15837,Tuta,1,2020
15837,Tuta,1,2021
15837,Tuta,1,2022
15837,Tuta,1,2023
15837,Tuta,1,2024
15837,Tuta,1,2025
15839,Tutazá,0,2020
15839,Tutazá,0,2021
15839,Tutazá,0,2022
15839,Tutazá,0,2023
15839,Tutazá,0,2024
15839,Tutazá,0,2025
15842,Umbita,0,2020
15842,Umbita,0,2021
15842,Umbita,0,2022
15842,Umbita,0,2023
15842,Umbita,0,2024
15842,Umbita,0,2025
15861,Ventaquemada,1,2020
15861,Ventaquemada,1,2021
15861,Ventaquemada,1,2022
15861,Ventaquemada,1,2023
15861,Ventaquemada,1,2024
15861,Ventaquemada,1,2025
15879,Viracachá,0,2020
15879,Viracachá,0,2021
15879,Viracachá,0,2022
15879,Viracachá,0,2023
15879,Viracachá,0,2024
15879,Viracachá,0,2025
15897,Zetaquirá,1,2020
15897,Zetaquirá,1,2021
15897,Zetaquirá,1,2022
15897,Zetaquirá,1,2023
15897,Zetaquirá,1,2024
15897,Zetaquirá,1,2025
