geo,Año,Rango de edad,Sexo,Casos
15001,2020,ADOLESCENCIA,HOMBRE,1
15001,2020,PRIMERA INFANCIA,MUJER,1
15001,2021,ADOLESCENCIA,MUJER,1
15001,2021,INFANCIA,MUJER,1
15001,2022,ADOLESCENCIA,HOMBRE,8
15001,2022,ADOLESCENCIA,MUJER,6
15001,2022,INFANCIA,HOMBRE,1
15001,2022,INFANCIA,MUJER,8
15001,2023,ADOLESCENCIA,HOMBRE,6
15001,2023,ADOLESCENCIA,MUJER,11
15001,2023,INFANCIA,HOMBRE,7
15001,2023,INFANCIA,MUJER,4
15001,2023,PRIMERA INFANCIA,MUJER,2
15001,2024,ADOLESCENCIA,MUJER,2
15001,2024,INFANCIA,HOMBRE,1
15001,2024,INFANCIA,MUJER,2
15176,2020,ADOLESCENCIA,MUJER,1
15176,2021,ADOLESCENCIA,R,2
15176,2021,INFANCIA,MUJER,2
15176,2022,ADOLESCENCIA,HOMBRE,5
15176,2022,ADOLESCENCIA,MUJER,5
15176,2022,INFANCIA,HOMBRE,2
15176,2022,INFANCIA,MUJER,1
15176,2023,ADOLESCENCIA,MUJER,3
15176,2023,INFANCIA,HOMBRE,4
15176,2023,INFANCIA,MUJER,1
15176,2023,PRIMERA INFANCIA,MUJER,1
15176,2024,ADOLESCENCIA,HOMBRE,1
15238,2020,INFANCIA,HOMBRE,2
15238,2020,PRIMERA INFANCIA,HOMBRE,1
15238,2021,INFANCIA,HOMBRE,1
15238,2022,ADOLESCENCIA,HOMBRE,5
15238,2022,ADOLESCENCIA,MUJER,2
15238,2022,INFANCIA,HOMBRE,3
15238,2022,INFANCIA,MUJER,3
15238,2023,ADOLESCENCIA,HOMBRE,3
15238,2023,ADOLESCENCIA,MUJER,4
15238,2023,INFANCIA,HOMBRE,2
15238,2023,INFANCIA,MUJER,1
15238,2024,ADOLESCENCIA,HOMBRE,2
15238,2024,ADOLESCENCIA,MUJER,2
15238,2024,INFANCIA,MUJER,1
15238,2024,PRIMERA INFANCIA,HOMBRE,1
15244,2020,ADOLESCENCIA,MUJER,4
15244,2021,ADOLESCENCIA,HOMBRE,2
15244,2021,INFANCIA,MUJER,1
15244,2022,ADOLESCENCIA,HOMBRE,7
15244,2022,ADOLESCENCIA,MUJER,4
15244,2023,INFANCIA,MUJER,1
15244,2024,ADOLESCENCIA,HOMBRE,1
15299,2020,ADOLESCENCIA,MUJER,1
15299,2020,PRIMERA INFANCIA,HOMBRE,1
15299,2021,ADOLESCENCIA,R,1
15299,2021,INFANCIA,HOMBRE,1
15299,2022,ADOLESCENCIA,HOMBRE,4
15299,2022,ADOLESCENCIA,MUJER,1
15299,2023,ADOLESCENCIA,HOMBRE,2
15299,2023,INFANCIA,HOMBRE,3
15299,2023,PRIMERA INFANCIA,HOMBRE,1
15455,2020,ADOLESCENCIA,HOMBRE,1
15455,2021,ADOLESCENCIA,HOMBRE,1
15455,2021,INFANCIA,HOMBRE,1
15455,2021,INFANCIA,MUJER,1
15455,2022,ADOLESCENCIA,MUJER,1
15455,2022,PRIMERA INFANCIA,MUJER,1
15455,2023,INFANCIA,HOMBRE,3
15469,2022,ADOLESCENCIA,MUJER,1
15507,2022,ADOLESCENCIA,HOMBRE,3
15507,2022,ADOLESCENCIA,MUJER,2
15507,2022,INFANCIA,HOMBRE,2
15507,2024,ADOLESCENCIA,MUJER,1
15572,2022,ADOLESCENCIA,MUJER,2
15572,2022,INFANCIA,HOMBRE,1
15572,2023,ADOLESCENCIA,HOMBRE,2
15572,2023,ADOLESCENCIA,MUJER,1
15572,2023,INFANCIA,MUJER,1
15572,2024,INFANCIA,MUJER,1
15753,2022,ADOLESCENCIA,HOMBRE,3
15753,2022,INFANCIA,HOMBRE,2
15753,2023,ADOLESCENCIA,HOMBRE,2
15753,2023,ADOLESCENCIA,MUJER,1
15753,2023,INFANCIA,HOMBRE,1
15753,2023,INFANCIA,MUJER,1
15759,2022,ADOLESCENCIA,HOMBRE,3
15759,2022,ADOLESCENCIA,MUJER,3
15759,2022,INFANCIA,HOMBRE,1
15759,2022,INFANCIA,MUJER,2
15759,2023,ADOLESCENCIA,HOMBRE,1
15759,2023,ADOLESCENCIA,MUJER,1
15759,2023,PRIMERA INFANCIA,HOMBRE,1
15759,2024,ADOLESCENCIA,HOMBRE,1
15759,2024,INFANCIA,HOMBRE,2
15759,2024,INFANCIA,MUJER,2
