geo,Municipio,Casos,Año
15001,Tunja,1,2010
15001,Tunja,1,2011
15001,Tunja,3,2012
15001,Tunja,22,2013
15001,Tunja,5,2014
15001,Tunja,4,2015
15001,Tunja,31,2016
15001,Tunja,16,2017
15001,Tunja,7,2018
15001,Tunja,4,2019
15001,Tunja,3,2020
15001,Tunja,4,2021
15001,Tunja,6,2022
15001,Tunja,3,2023
15001,Tunja,2,2024
15001,Tunja,2,2025
15001,Tunja,1,2026
15022,Almeida,1,2016
15047,Aquitania,1,2010
15047,Aquitania,1,2011
15047,Aquitania,3,2012
15047,Aquitania,1,2017
15047,Aquitania,7,2018
15047,Aquitania,1,2019
15047,Aquitania,1,2020
15051,Arcabuco,1,2012
15051,Arcabuco,1,2016
15051,Arcabuco,2,2017
15051,Arcabuco,1,2018
15051,Arcabuco,2,2020
15051,Arcabuco,2,2021
15051,Arcabuco,2,2022
15051,Arcabuco,1,2026
15087,Belén,3,2014
15087,Belén,1,2017
15087,Belén,3,2019
15090,Berbeo,1,2010
15090,Berbeo,1,2012
15090,Berbeo,1,2021
15090,Berbeo,1,2026
15092,Betéitiva,1,2010
15092,Betéitiva,4,2015
15092,Betéitiva,1,2019
15092,Betéitiva,2,2020
15092,Betéitiva,2,2022
15097,Boavita,1,2011
15097,Boavita,7,2012
15097,Boavita,2,2013
15097,Boavita,3,2014
15097,Boavita,3,2017
15097,Boavita,2,2018
15097,Boavita,2,2019
15097,Boavita,3,2020
15097,Boavita,2,2021
15097,Boavita,7,2022
15097,Boavita,2,2023
15097,Boavita,1,2025
15097,Boavita,1,2026
15104,Boyacá,3,2015
15104,Boyacá,1,2017
15104,Boyacá,1,2022
15106,Briceño,2,2011
15106,Briceño,1,2024
15109,Buenavista,1,2014
15109,Buenavista,1,2015
15109,Buenavista,2,2017
15114,Busbanzá,1,2021
15131,Caldas,1,2012
15131,Caldas,2,2013
15131,Caldas,1,2017
15135,Campohermoso,2,2017
15162,Cerinza,1,2015
15162,Cerinza,1,2018
15162,Cerinza,1,2019
15172,Chinavita,1,2010
15172,Chinavita,1,2012
15172,Chinavita,1,2019
15176,Chiquinquirá,3,2012
15176,Chiquinquirá,2,2013
15176,Chiquinquirá,3,2014
15176,Chiquinquirá,1,2016
15176,Chiquinquirá,4,2017
15176,Chiquinquirá,1,2018
15176,Chiquinquirá,3,2020
15176,Chiquinquirá,1,2021
15176,Chiquinquirá,6,2025
15176,Chiquinquirá,3,2026
15180,Chiscas,1,2012
15180,Chiscas,1,2019
15180,Chiscas,1,2024
15183,Chita,1,2010
15183,Chita,2,2019
15183,Chita,1,2021
15183,Chita,1,2023
15185,Chitaraque,1,2018
15185,Chitaraque,1,2026
15187,Chivatá,2,2014
