geo,Año,Rango de edad,Sexo,Casos
15001,2020,Adultez,MASCULINO,2
15001,2020,Adultez,NO DETERMINADO,1
15001,2020,Infancia,NO DETERMINADO,1
15001,2020,Vejez,MASCULINO,4
15001,2021,Adultez,MASCULINO,2
15001,2021,Primera infancia,NO DETERMINADO,1
15001,2021,Vejez,MASCULINO,1
15001,2022,Adolescencia,FEMENINO,1
15001,2022,Adultez,FEMENINO,1
15001,2022,Juventud,FEMENINO,1
15001,2022,Juventud,NO DETERMINADO,2
15001,2022,Primera infancia,MASCULINO,1
15001,2022,Primera infancia,NO DETERMINADO,1
15001,2023,Adolescencia,MASCULINO,1
15001,2023,Adultez,MASCULINO,3
15001,2023,Juventud,NO DETERMINADO,1
15001,2023,Primera infancia,MASCULINO,5
15001,2023,Primera infancia,NO DETERMINADO,7
15001,2023,Vejez,FEMENINO,1
15001,2023,Vejez,MASCULINO,2
15001,2024,Adultez,MASCULINO,4
15001,2024,Primera infancia,MASCULINO,1
15001,2024,Primera infancia,NO DETERMINADO,9
15176,2022,Primera infancia,FEMENINO,1
15176,2023,Vejez,MASCULINO,3
15238,2020,Primera infancia,FEMENINO,1
15238,2020,Vejez,FEMENINO,1
15238,2024,Adultez,MASCULINO,1
15299,2022,Vejez,MASCULINO,1
15753,2024,Infancia,NO DETERMINADO,1
15759,2022,Primera infancia,FEMENINO,1
15759,2023,Juventud,NO DETERMINADO,1
